,date,Longitude,Latitude,State,tweet_clean,sentiment,sentiment_category,y_predict
0,2022-11-10,-84.266174,30.4762155,FL,there major floridian aren legal access abort knew anybodi democrat parti apparatu would suggest singular focu built around that go forward into next elect,0.128,positive,positive
1,2022-11-10,-118.3210685,46.0646405,WA,abort just becaus either there need actual press reason third trimest usual same reason earli one,0.0,neutral,neutral
2,2022-11-10,-118.3210685,46.0646405,WA,see exampl third trimest list paper reason like just becaus they want abort they cite medic extrem case someon couldn earli restrict none third trimest clinic will,0.0516,positive,positive
3,2022-11-10,-86.791549,36.200008,TN,hobb,0.0,neutral,neutral
4,2022-11-10,-86.791549,36.200008,TN,hobb,0.0,neutral,neutral
5,2022-11-10,-95.830828,32.458637,TX,birth control over effect give shit work sever year effect anoth form with sure fuck tire hear about abort teen girl plan parenthood condom,-0.7003,negative,negative
6,2022-11-10,-122.061771,47.6788125,WA,they violenc climat chang abort what altern,0.0,neutral,neutral
7,2022-11-10,-100.0768885,31.1688935,TX,novemb citizen plainview outlaw abort citywid vote result were against differ point ordin prohibit abort be perform resid their citi even york texasisprolif,0.0,neutral,positive
8,2022-11-10,-118.4119065,34.0207895,CA,sorri share your anger just repeat what heard howev abort liter ballot california that great exampl speak except specul that both blue that even with typic midterm eros,0.3818,positive,positive
9,2022-11-10,-86.791549,36.200008,TN,hobb,0.0,neutral,neutral
10,2022-11-10,-93.6063695,41.5764375,IA,unmarri women care more about abort birth control plu also skew younger conflat variabl,0.4939,positive,positive
11,2022-11-10,-90.375446,38.699745,MO,oppos that moon back like ban book abort about control they want autocrat rule then that dem will take away their right also religion forc down throat stop mad bring democraci back,-0.7351,negative,negative
12,2022-11-10,-83.1738665,32.6782075,GA,matt singl issu voter that republican thing plu alreadi overturn care abort when feder mandat,0.4939,positive,positive
13,2022-11-10,-115.038337,36.006256,NV,noth els thi elect prove democrat believ abort right climat chang more import than inflat crime unfett entri into america illeg immigr help,-0.2023,negative,negative
14,2022-11-10,-118.4119065,34.0207895,CA,fascin nate cohn analysi daili dem wildli outperform histor model biden number state where threat democraci abort were actual ballot michigan pennsylvania instanc perform wors where they weren like,-0.1531,negative,negative
15,2022-11-10,-93.389864,41.9382285,IA,constitut amend abort pass consecut legisl session pass last session they would have pass again under thi newli elect legislatur they pass will then next ballot,0.0,neutral,positive
16,2022-11-10,-87.732013,41.8335845,IL,forc everyon live societi without abort healthcar exactli that geniu,0.0,neutral,neutral
17,2022-11-10,-83.1738665,32.6782075,GA,matt abort never good talk about weirdo,-0.6377,negative,positive
18,2022-11-10,-75.770041,42.746617,NY,abort healthcar privat decis access abort direct effect economi,0.0,neutral,neutral
